Column1,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
659,Deon Yelder,TAM,TE,0,0,0,1,0,0,0,0,0,0,0,0
660,Khari Blasingame,TEN,RB,3,6,0,2,4,0,1,0,0,0,0,0
661,Jacob Eason,IND,QB,0,0,0,0,0,0,0,5,2,25,0,1
662,Feleipe Franks,ATL,QB,3,6,0,0,0,0,0,1,0,0,0,1
663,Racey McMath,TEN,WR,0,0,0,2,8,0,1,0,0,0,0,0
664,Malik Taylor,GNB,WR,0,0,0,2,14,0,1,0,0,0,0,0
665,Logan Woodside,TEN,QB,6,-6,0,0,0,0,0,0,0,0,0,0
666,Travis Benjamin,SFO,,0,0,0,0,0,0,1,0,0,0,0,0
667,Trenton Cannon,2TM,RB,3,4,0,0,0,0,1,0,0,0,0,0
668,John Wolford,LAR,QB,2,-1,0,0,0,0,0,4,1,5,0,1
669,Josh Rosen,ATL,QB,0,0,0,0,0,0,0,11,2,19,0,2
670,Diontae Spencer,DEN,WR,0,0,0,1,-3,0,2,0,0,0,0,0
